taille,pourcentage_vide,methode,nb_instances,nb_resolues,temps_max,taux_reussite,temps_moyen,nb_cases
5x5,50.0,cplex,3,3,2.3475,100.0,0.7888,25
5x5,50.0,heuristic,3,3,0.0556,100.0,0.0186,25
5x5,60.0,cplex,3,3,0.0173,100.0,0.0139,25
5x5,60.0,heuristic,3,3,0.0006,100.0,0.0003,25
5x5,70.0,cplex,3,3,0.0286,100.0,0.0244,25
5x5,70.0,heuristic,3,3,0.0094,100.0,0.0033,25
5x5,80.0,cplex,3,3,0.0162,100.0,0.0124,25
5x5,80.0,heuristic,3,3,0.0033,100.0,0.0015,25
5x5,90.0,cplex,3,3,0.0351,100.0,0.0277,25
5x5,90.0,heuristic,3,3,0.0004,100.0,0.0002,25
6x6,50.0,cplex,3,3,0.0143,100.0,0.0135,36
6x6,50.0,heuristic,3,3,0.0009,100.0,0.0006,36
6x6,60.0,cplex,3,3,0.0309,100.0,0.0272,36
6x6,60.0,heuristic,3,3,0.0209,100.0,0.0114,36
6x6,70.0,cplex,3,3,0.0475,100.0,0.0315,36
6x6,70.0,heuristic,3,3,0.0016,100.0,0.0009,36
6x6,80.0,cplex,3,3,0.0941,100.0,0.0639,36
6x6,80.0,heuristic,3,3,0.0047,100.0,0.0032,36
6x6,90.0,cplex,3,3,0.056,100.0,0.052,36
6x6,90.0,heuristic,3,3,0.0003,100.0,0.0001,36
7x7,50.0,cplex,3,3,0.0226,100.0,0.0204,49
7x7,50.0,heuristic,3,3,0.0652,100.0,0.0222,49
7x7,60.0,cplex,3,3,0.0357,100.0,0.0296,49
7x7,60.0,heuristic,3,3,1.1184,100.0,0.3888,49
7x7,70.0,cplex,3,3,0.0572,100.0,0.0409,49
7x7,70.0,heuristic,3,3,28.5736,100.0,9.535,49
7x7,80.0,cplex,3,3,0.6155,100.0,0.2598,49
7x7,80.0,heuristic,3,3,0.0378,100.0,0.0158,49
7x7,90.0,cplex,3,3,0.3629,100.0,0.2013,49
7x7,90.0,heuristic,3,3,0.4632,100.0,0.1682,49
8x8,50.0,cplex,3,3,0.0383,100.0,0.029,64
8x8,50.0,heuristic,3,3,0.0324,100.0,0.015,64
8x8,60.0,cplex,3,3,0.0371,100.0,0.0307,64
8x8,60.0,heuristic,3,3,0.0548,100.0,0.0351,64
8x8,70.0,cplex,3,3,0.1845,100.0,0.1302,64
8x8,70.0,heuristic,3,2,120.0001,66.67,40.0144,64
8x8,80.0,cplex,3,3,0.1285,100.0,0.0942,64
8x8,80.0,heuristic,3,1,120.0041,33.33,80.016,64
8x8,90.0,cplex,3,3,0.2165,100.0,0.1845,64
8x8,90.0,heuristic,3,3,0.0125,100.0,0.0067,64
10x10,50.0,cplex,3,3,0.1021,100.0,0.0959,100
10x10,50.0,heuristic,3,3,2.3104,100.0,0.8428,100
10x10,60.0,cplex,3,3,0.2932,100.0,0.2323,100
10x10,60.0,heuristic,3,3,9.5662,100.0,3.236,100
10x10,70.0,cplex,3,3,0.1881,100.0,0.1447,100
10x10,70.0,heuristic,3,1,120.0009,33.33,81.868,100
10x10,80.0,cplex,3,3,1.0586,100.0,0.7046,100
10x10,80.0,heuristic,3,3,27.8595,100.0,16.3677,100
10x10,90.0,cplex,3,3,1.3682,100.0,0.7215,100
10x10,90.0,heuristic,3,2,120.0003,66.67,40.7778,100
12x12,50.0,cplex,3,3,0.1271,100.0,0.0993,144
12x12,50.0,heuristic,3,3,51.5256,100.0,27.8991,144
12x12,60.0,cplex,3,3,0.2307,100.0,0.1893,144
12x12,60.0,heuristic,3,2,120.0004,66.67,41.8291,144
12x12,70.0,cplex,3,3,1.1839,100.0,0.6045,144
12x12,70.0,heuristic,3,0,120.0003,0.0,120.0003,144
12x12,80.0,cplex,3,3,2.5395,100.0,1.2433,144
12x12,80.0,heuristic,3,2,120.0006,66.67,40.305,144
12x12,90.0,cplex,3,3,3.0191,100.0,2.3585,144
12x12,90.0,heuristic,3,2,120.003,66.67,44.9465,144
14x14,50.0,cplex,3,3,1.2857,100.0,0.672,196
14x14,60.0,cplex,3,3,1.0029,100.0,0.6832,196
14x14,70.0,cplex,3,3,1.8792,100.0,1.0246,196
14x14,80.0,cplex,3,3,2.9367,100.0,2.5488,196
14x14,90.0,cplex,3,3,9.6093,100.0,5.9117,196
