taille,methode,nb_instances,nb_resolues,temps_max,taux_reussite,temps_moyen,nb_cases
5x5,cplex,15,15,2.3475,100.0,0.1735,25
5x5,heuristic,15,15,0.0556,100.0,0.0048,25
6x6,cplex,15,15,0.0941,100.0,0.0376,36
6x6,heuristic,15,15,0.0209,100.0,0.0032,36
7x7,cplex,15,15,0.6155,100.0,0.1104,49
7x7,heuristic,15,15,28.5736,100.0,2.026,49
8x8,cplex,15,15,0.2165,100.0,0.0937,64
8x8,heuristic,15,12,120.0041,80.0,24.0174,64
10x10,cplex,15,15,1.3682,100.0,0.3798,100
10x10,heuristic,15,12,120.0009,80.0,28.6185,100
12x12,cplex,15,15,3.0191,100.0,0.899,144
12x12,heuristic,15,9,120.003,60.0,54.996,144
14x14,cplex,15,15,9.6093,100.0,2.168,196
