taille,pourcentage_vide,methode,nb_instances,nb_resolues,taux_reussite,temps_moyen,temps_max
10x10,50.0,cplex,3,3,100.0,0.0959,0.1021
10x10,60.0,cplex,3,3,100.0,0.2323,0.2932
10x10,70.0,cplex,3,3,100.0,0.1447,0.1881
10x10,80.0,cplex,3,3,100.0,0.7046,1.0586
10x10,90.0,cplex,3,3,100.0,0.7215,1.3682
12x12,50.0,cplex,3,3,100.0,0.0993,0.1271
12x12,60.0,cplex,3,3,100.0,0.1893,0.2307
12x12,70.0,cplex,3,3,100.0,0.6045,1.1839
12x12,80.0,cplex,3,3,100.0,1.2433,2.5395
12x12,90.0,cplex,3,3,100.0,2.3585,3.0191
14x14,50.0,cplex,3,3,100.0,0.672,1.2857
14x14,60.0,cplex,3,3,100.0,0.6832,1.0029
14x14,70.0,cplex,3,3,100.0,1.0246,1.8792
14x14,80.0,cplex,3,3,100.0,2.5488,2.9367
14x14,90.0,cplex,3,3,100.0,5.9117,9.6093
5x5,50.0,cplex,3,3,100.0,0.7888,2.3475
5x5,50.0,heuristic,3,3,100.0,0.0186,0.0556
5x5,60.0,cplex,3,3,100.0,0.0139,0.0173
5x5,60.0,heuristic,3,3,100.0,0.0003,0.0006
5x5,70.0,cplex,3,3,100.0,0.0244,0.0286
5x5,70.0,heuristic,3,3,100.0,0.0033,0.0094
5x5,80.0,cplex,3,3,100.0,0.0124,0.0162
5x5,80.0,heuristic,3,3,100.0,0.0015,0.0033
5x5,90.0,cplex,3,3,100.0,0.0277,0.0351
5x5,90.0,heuristic,3,3,100.0,0.0002,0.0004
6x6,50.0,cplex,3,3,100.0,0.0135,0.0143
6x6,50.0,heuristic,3,3,100.0,0.0006,0.0009
6x6,60.0,cplex,3,3,100.0,0.0272,0.0309
6x6,60.0,heuristic,3,3,100.0,0.0114,0.0209
6x6,70.0,cplex,3,3,100.0,0.0315,0.0475
6x6,70.0,heuristic,3,3,100.0,0.0009,0.0016
6x6,80.0,cplex,3,3,100.0,0.0639,0.0941
6x6,80.0,heuristic,3,3,100.0,0.0032,0.0047
6x6,90.0,cplex,3,3,100.0,0.052,0.056
6x6,90.0,heuristic,3,3,100.0,0.0001,0.0003
7x7,50.0,cplex,3,3,100.0,0.0204,0.0226
7x7,50.0,heuristic,3,3,100.0,0.0222,0.0652
7x7,60.0,cplex,3,3,100.0,0.0296,0.0357
7x7,60.0,heuristic,3,3,100.0,0.3888,1.1184
7x7,70.0,cplex,3,3,100.0,0.0409,0.0572
7x7,70.0,heuristic,3,3,100.0,9.535,28.5736
7x7,80.0,cplex,3,3,100.0,0.2598,0.6155
7x7,80.0,heuristic,3,3,100.0,0.0158,0.0378
7x7,90.0,cplex,3,3,100.0,0.2013,0.3629
7x7,90.0,heuristic,3,3,100.0,0.1682,0.4632
8x8,50.0,cplex,3,3,100.0,0.029,0.0383
8x8,50.0,heuristic,3,3,100.0,0.015,0.0324
8x8,60.0,cplex,3,3,100.0,0.0307,0.0371
8x8,60.0,heuristic,3,3,100.0,0.0351,0.0548
8x8,70.0,cplex,3,3,100.0,0.1302,0.1845
8x8,70.0,heuristic,3,2,66.67,40.0144,120.0001
8x8,80.0,cplex,3,3,100.0,0.0942,0.1285
8x8,80.0,heuristic,3,1,33.33,80.016,120.0041
8x8,90.0,cplex,3,3,100.0,0.1845,0.2165
8x8,90.0,heuristic,3,3,100.0,0.0067,0.0125
